title,kind,release_date,source,source_url,summary,poster_url,updated_at
The Big Money Show,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/76779/the-big-money-show,"Taylor Riggs, Brian Brenberg and Jackie DeAngelis host an informative and fast-paced hour filled with business topics that impact everyone from Wall Street to the average person.",https://static.tvmaze.com/uploads/images/medium_portrait/614/1536233.jpg,2026-06-20T06:44:25+00:00
Outnumbered,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/18862/outnumbered,"Featuring an ensemble of four female panelists and one rotating male, Outnumbered examines the top news stories as well as the leading pop culture and relationship issues dominating the headlines. FNC's Harris Faulkner, Kayleigh McEnany and Emily Compagno lead the program's coverage, while alternating co-panelists weigh in with analysis.",https://static.tvmaze.com/uploads/images/medium_portrait/614/1536198.jpg,2026-06-20T06:44:25+00:00
SEC Now,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/8661/sec-now,"The flagship news and information program of the SEC Network -- ESPN's 24/7 multiplatform sports network devoted to the Southeastern Conference -- is SEC Now , broadcast weekdays from the network's studios in Charlotte, N.C. Hosted by Dari Nowkhah, the show includes a mix of sports coverage, in-depth features, insider access, and exclusive interviews with the movers and shakers of the conference's 14 teams.",https://static.tvmaze.com/uploads/images/medium_portrait/30/77094.jpg,2026-06-20T06:44:25+00:00
NBC News Daily,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/73192/nbc-news-daily,NBC News provides viewers with up-to-the-minute national and international news.,https://static.tvmaze.com/uploads/images/medium_portrait/497/1243761.jpg,2026-06-20T06:44:25+00:00
Magicampers,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/69284/magicampers,"Disney's preschool original Magicampers follows the adventures of best friends Darly and Loomis at a day camp for magical creatures on a fantastical island. Darly is half-pig and half-Pegasus, Loomis is half-donkey and half-unicorn, and their young friends are also mythical mashups of all stripes. Every day they go on incredible journeys of discovery and dream of becoming legendary, having their stories told and retold for all time. At the heart of the series, Darly and Loomis will learn that becoming a legend isn't about mastering magic powers or winning the biggest prize — it's about understanding and accepting yourself and others and working together with all kinds of friends.",https://static.tvmaze.com/uploads/images/medium_portrait/619/1547834.jpg,2026-06-20T06:44:25+00:00
The Young and the Restless,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/4344/the-young-and-the-restless,"The Young and the Restless revolves around the rivalries, romances, hopes and fears of the residents of the fictional Midwestern metropolis, Genoa City. The lives and loves of a wide variety of characters mingle through the generations, dominated by the Newman, Abbott, Chancellor, Baldwin and Winters families. ­ When The Young and the Restless premiered in 1973, it revolutionized the daytime drama. It continues to set the standard with strong characters, socially conscious storylines, romance and sensuality.",https://static.tvmaze.com/uploads/images/medium_portrait/593/1482522.jpg,2026-06-20T06:44:25+00:00
GMA3,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/72930/gma3,"GMA3 is a news, health, lifestyle and shopping program.",https://static.tvmaze.com/uploads/images/medium_portrait/586/1465552.jpg,2026-06-20T06:44:25+00:00
America Reports,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/75854/america-reports,A look at the latest news and headlines with Sandra Smith and John Roberts,https://static.tvmaze.com/uploads/images/medium_portrait/614/1536216.jpg,2026-06-20T06:44:25+00:00
The Bold and the Beautiful,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/806/the-bold-and-the-beautiful,"They created a dynasty where passion rules, they are the Forresters, the first name in Fashion. The Bold and the Beautiful , a world of fashion, glamor and romance. A place where power, money and success are there for the taking in a city where dreams really do come true. Follow the lives and loves of the Forresters on The Bold and the Beautiful ...",https://static.tvmaze.com/uploads/images/medium_portrait/593/1482536.jpg,2026-06-20T06:44:25+00:00
The Moment with Katy Tur,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/91901/the-moment-with-katy-tur,The Moment with Katy Tur is designed to move beyond the immediate headlines to provide deeper context and understanding of the political and national stories shaping the day.,https://static.tvmaze.com/uploads/images/medium_portrait/628/1571887.jpg,2026-06-20T06:44:25+00:00
